date,time,id,roadname,fromnode,tonode,len,maxSpeed,speed,ttime,traffic
2026-01-02,06:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2026-01-02,06:00:00,9,내정로,계원삼거리,신기사거리,391,30,10,141.0,2
2026-01-02,06:00:00,8,불정로,불정사거리,계원삼거리,388,50,48,29.0,1
2026-01-02,06:00:00,11,정자로,상록사거리,금곡교사거리,153,50,41,13.0,1
2026-01-02,06:00:00,3,탄천중로,느티마을사거리,상록사거리,561,50,22,92.0,2
2026-01-02,06:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,42,65.0,1
2026-01-02,06:00:00,4,정자로,상록사거리,신기사거리,440,50,39,41.0,1
2026-01-02,06:00:00,5,정자로,신기사거리,정든마을사거리,374,50,26,52.0,1
2026-01-02,06:00:00,1,성남대로,금곡교사거리,궁내사거리,562,70,48,42.0,2
2026-01-02,06:00:00,10,정자로,신기사거리,상록사거리,440,50,32,50.0,1
2026-01-02,06:00:00,2,느티마을길,궁내사거리,느티마을사거리,158,50,21,27.0,2
2026-01-02,06:10:00,9,내정로,계원삼거리,신기사거리,391,30,18,78.0,2
2026-01-02,06:10:00,10,정자로,신기사거리,상록사거리,440,50,33,48.0,1
2026-01-02,06:10:00,8,불정로,불정사거리,계원삼거리,388,50,51,27.0,1
2026-01-02,06:10:00,5,정자로,신기사거리,정든마을사거리,374,50,26,52.0,1
2026-01-02,06:10:00,1,성남대로,금곡교사거리,궁내사거리,562,70,47,43.0,2
2026-01-02,06:10:00,11,정자로,상록사거리,금곡교사거리,153,50,40,14.0,1
2026-01-02,06:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2026-01-02,06:10:00,4,정자로,상록사거리,신기사거리,440,50,41,39.0,1
2026-01-02,06:10:00,2,느티마을길,궁내사거리,느티마을사거리,158,50,17,33.0,2
2026-01-02,06:10:00,3,탄천중로,느티마을사거리,상록사거리,561,50,23,88.0,2
2026-01-02,06:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,36,76.0,1
