date,time,id,roadname,fromnode,tonode,len,maxSpeed,speed,ttime,traffic
2025-10-04,06:00:00,10,정자로,신기사거리,상록사거리,440,50,45,35.0,1
2025-10-04,06:00:00,2,느티로,궁내사거리,느티마을사거리,158,50,25,23.0,2
2025-10-04,06:00:00,5,정자로,신기사거리,정든마을사거리,374,50,33,41.0,1
2025-10-04,06:00:00,9,내정로,계원삼거리,신기사거리,390,30,31,45.0,2
2025-10-04,06:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-04,06:00:00,3,황새울로,느티마을사거리,상록사거리,560,50,21,96.0,2
2025-10-04,06:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,15,89.0,2
2025-10-04,06:00:00,4,정자로,상록사거리,신기사거리,440,50,45,35.0,1
2025-10-04,06:00:00,1,성남대로,금곡교사거리,궁내사거리,561,70,36,56.0,2
2025-10-04,06:00:00,11,정자로,상록사거리,금곡교사거리,152,50,44,13.0,1
2025-10-04,06:00:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-04,06:10:00,10,정자로,신기사거리,상록사거리,440,50,30,53.0,1
2025-10-04,06:10:00,1,성남대로,금곡교사거리,궁내사거리,561,70,35,58.0,2
2025-10-04,06:10:00,3,황새울로,느티마을사거리,상록사거리,560,50,21,96.0,2
2025-10-04,06:10:00,9,내정로,계원삼거리,신기사거리,390,30,31,45.0,2
2025-10-04,06:10:00,11,정자로,상록사거리,금곡교사거리,152,50,35,16.0,1
2025-10-04,06:10:00,5,정자로,신기사거리,정든마을사거리,374,50,18,75.0,2
2025-10-04,06:10:00,2,느티로,궁내사거리,느티마을사거리,158,50,29,20.0,1
2025-10-04,06:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,34,80.0,1
2025-10-04,06:10:00,4,정자로,상록사거리,신기사거리,440,50,37,43.0,1
2025-10-04,06:10:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-04,06:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,15,89.0,2
2025-10-04,06:20:00,5,정자로,신기사거리,정든마을사거리,374,50,18,75.0,2
2025-10-04,06:20:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-04,06:20:00,2,느티로,궁내사거리,느티마을사거리,158,50,24,24.0,2
2025-10-04,06:20:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-04,06:20:00,3,황새울로,느티마을사거리,상록사거리,560,50,21,96.0,2
2025-10-04,06:20:00,7,불정로,한솔청구어린이집,불정사거리,758,50,31,88.0,1
2025-10-04,06:20:00,1,성남대로,금곡교사거리,궁내사거리,561,70,35,58.0,2
2025-10-04,06:20:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,15,89.0,2
2025-10-04,06:20:00,10,정자로,신기사거리,상록사거리,440,50,25,63.0,2
2025-10-04,06:20:00,11,정자로,상록사거리,금곡교사거리,152,50,30,18.0,1
2025-10-04,06:20:00,4,정자로,상록사거리,신기사거리,440,50,36,44.0,1
2025-10-04,06:30:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,15,89.0,2
2025-10-04,06:30:00,11,정자로,상록사거리,금곡교사거리,152,50,14,39.0,3
2025-10-04,06:30:00,1,성남대로,금곡교사거리,궁내사거리,561,70,38,53.0,2
2025-10-04,06:30:00,4,정자로,상록사거리,신기사거리,440,50,36,44.0,1
2025-10-04,06:30:00,8,불정로,불정사거리,계원삼거리,387,50,39,36.0,1
2025-10-04,06:30:00,5,정자로,신기사거리,정든마을사거리,374,50,18,75.0,2
2025-10-04,06:30:00,3,황새울로,느티마을사거리,상록사거리,560,50,21,96.0,2
2025-10-04,06:30:00,7,불정로,한솔청구어린이집,불정사거리,758,50,30,91.0,1
2025-10-04,06:30:00,2,느티로,궁내사거리,느티마을사거리,158,50,25,23.0,2
2025-10-04,06:30:00,10,정자로,신기사거리,상록사거리,440,50,19,83.0,2
2025-10-04,06:30:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-04,06:40:00,8,불정로,불정사거리,계원삼거리,387,50,38,37.0,1
2025-10-04,06:40:00,3,황새울로,느티마을사거리,상록사거리,560,50,21,96.0,2
2025-10-04,06:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,34,60.0,2
2025-10-04,06:40:00,11,정자로,상록사거리,금곡교사거리,152,50,27,20.0,1
2025-10-04,06:40:00,4,정자로,상록사거리,신기사거리,440,50,36,44.0,1
2025-10-04,06:40:00,9,내정로,계원삼거리,신기사거리,390,30,21,67.0,2
2025-10-04,06:40:00,5,정자로,신기사거리,정든마을사거리,374,50,18,75.0,2
2025-10-04,06:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,25,23.0,2
