date,time,id,roadname,fromnode,tonode,maxSpeed,speed,ttime,traffic
2025-10-01,12:15:00,8,불정로,불정사거리,계원삼거리,50,37,38.0,1
2025-10-01,12:30:00,10,정자로,신기사거리,상록사거리,50,30,53.0,1
2025-10-01,12:30:00,3,황새울로,느티마을사거리,상록사거리,50,18,112.0,2
2025-10-01,12:30:00,9,내정로,계원삼거리,신기사거리,30,21,67.0,2
2025-10-01,12:30:00,5,정자로,신기사거리,정든마을사거리,50,25,54.0,2
2025-10-01,12:30:00,4,정자로,상록사거리,신기사거리,50,28,57.0,1
2025-10-01,12:30:00,8,불정로,불정사거리,계원삼거리,50,38,37.0,1
2025-10-01,12:30:00,6,정자로,정든마을사거리,한솔청구어린이집,30,15,89.0,2
2025-10-01,12:30:00,7,불정로,한솔청구어린이집,불정사거리,50,24,114.0,2
2025-10-01,12:30:00,2,느티로,궁내사거리,느티마을사거리,50,12,47.0,3
2025-10-01,12:30:00,11,정자로,상록사거리,금곡교사거리,50,27,20.0,1
2025-10-01,12:30:00,1,성남대로,금곡교사거리,궁내사거리,70,38,53.0,1
2025-10-01,12:45:00,11,정자로,상록사거리,금곡교사거리,50,28,20.0,1
2025-10-01,12:45:00,5,정자로,신기사거리,정든마을사거리,50,11,122.0,3
2025-10-01,12:45:00,6,정자로,정든마을사거리,한솔청구어린이집,30,12,111.0,3
2025-10-01,12:45:00,8,불정로,불정사거리,계원삼거리,50,32,44.0,1
2025-10-01,12:45:00,7,불정로,한솔청구어린이집,불정사거리,50,26,105.0,1
2025-10-01,12:45:00,2,느티로,궁내사거리,느티마을사거리,50,11,52.0,3
2025-10-01,13:00:00,9,내정로,계원삼거리,신기사거리,30,15,94.0,2
2025-10-01,13:00:00,5,정자로,신기사거리,정든마을사거리,50,14,96.0,3
2025-10-01,13:00:00,8,불정로,불정사거리,계원삼거리,50,33,42.0,1
2025-10-01,13:00:00,10,정자로,신기사거리,상록사거리,50,17,93.0,2
2025-10-01,13:00:00,2,느티로,궁내사거리,느티마을사거리,50,10,57.0,3
2025-10-01,13:00:00,1,성남대로,금곡교사거리,궁내사거리,70,35,58.0,1
2025-10-01,13:00:00,4,정자로,상록사거리,신기사거리,50,21,75.0,2
2025-10-01,13:00:00,6,정자로,정든마을사거리,한솔청구어린이집,30,12,111.0,3
2025-10-01,13:00:00,3,황새울로,느티마을사거리,상록사거리,50,15,135.0,2
2025-10-01,13:00:00,11,정자로,상록사거리,금곡교사거리,50,28,20.0,1
2025-10-01,13:00:00,7,불정로,한솔청구어린이집,불정사거리,50,25,109.0,2
2025-10-01,13:15:00,10,정자로,신기사거리,상록사거리,50,30,53.0,1
2025-10-01,13:15:00,7,불정로,한솔청구어린이집,불정사거리,50,21,130.0,2
2025-10-01,13:15:00,9,내정로,계원삼거리,신기사거리,30,15,94.0,2
2025-10-01,13:15:00,3,황새울로,느티마을사거리,상록사거리,50,13,155.0,3
2025-10-01,13:15:00,2,느티로,궁내사거리,느티마을사거리,50,9,63.0,3
2025-10-01,13:15:00,8,불정로,불정사거리,계원삼거리,50,29,48.0,1
2025-10-01,13:15:00,1,성남대로,금곡교사거리,궁내사거리,70,42,48.0,1
2025-10-01,13:15:00,11,정자로,상록사거리,금곡교사거리,50,12,46.0,3
2025-10-01,13:30:00,9,내정로,계원삼거리,신기사거리,30,13,108.0,3
2025-10-01,13:30:00,6,정자로,정든마을사거리,한솔청구어린이집,30,10,133.0,3
2025-10-01,13:30:00,5,정자로,신기사거리,정든마을사거리,50,16,84.0,2
2025-10-01,13:30:00,10,정자로,신기사거리,상록사거리,50,29,55.0,1
2025-10-01,13:30:00,4,정자로,상록사거리,신기사거리,50,25,63.0,2
2025-10-01,13:30:00,7,불정로,한솔청구어린이집,불정사거리,50,19,144.0,2
2025-10-01,13:30:00,11,정자로,상록사거리,금곡교사거리,50,22,25.0,2
2025-10-01,13:30:00,1,성남대로,금곡교사거리,궁내사거리,70,36,56.0,1
2025-10-01,13:30:00,2,느티로,궁내사거리,느티마을사거리,50,11,52.0,3
2025-10-01,13:30:00,3,황새울로,느티마을사거리,상록사거리,50,18,112.0,2
2025-10-01,13:30:00,8,불정로,불정사거리,계원삼거리,50,32,44.0,1
2025-10-01,13:45:00,2,느티로,궁내사거리,느티마을사거리,50,14,41.0,3
2025-10-01,13:45:00,9,내정로,계원삼거리,신기사거리,30,16,88.0,2
2025-10-01,13:45:00,8,불정로,불정사거리,계원삼거리,50,33,42.0,1
