date,time,id,roadname,fromnode,tonode,len,maxSpeed,speed,ttime,traffic
2025-11-09,06:30:00,4,정자로,상록사거리,신기사거리,440,50,32,50.0,1
2025-11-09,06:30:00,5,정자로,신기사거리,정든마을사거리,374,50,19,71.0,2
2025-11-09,06:30:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
2025-11-09,06:30:00,3,황새울로,느티마을사거리,상록사거리,560,50,22,92.0,2
2025-11-09,06:30:00,11,정자로,상록사거리,금곡교사거리,152,50,23,24.0,2
2025-11-09,06:30:00,9,내정로,계원삼거리,신기사거리,390,30,17,83.0,2
2025-11-09,06:30:00,1,성남대로,금곡교사거리,궁내사거리,561,70,33,61.0,2
2025-11-09,06:30:00,10,정자로,신기사거리,상록사거리,440,50,31,51.0,1
2025-11-09,06:30:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-11-09,06:30:00,7,불정로,한솔청구어린이집,불정사거리,758,50,28,97.0,1
2025-11-09,06:30:00,8,불정로,불정사거리,계원삼거리,387,50,26,54.0,1
2025-11-09,06:40:00,10,정자로,신기사거리,상록사거리,440,50,21,75.0,2
2025-11-09,06:40:00,11,정자로,상록사거리,금곡교사거리,152,50,23,24.0,2
2025-11-09,06:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,20,28.0,2
2025-11-09,06:40:00,3,황새울로,느티마을사거리,상록사거리,560,50,22,92.0,2
2025-11-09,06:40:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-11-09,06:40:00,8,불정로,불정사거리,계원삼거리,387,50,46,30.0,1
2025-11-09,06:40:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-11-09,06:40:00,4,정자로,상록사거리,신기사거리,440,50,32,50.0,1
2025-11-09,06:40:00,5,정자로,신기사거리,정든마을사거리,374,50,33,41.0,1
2025-11-09,06:40:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-11-09,06:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,46,44.0,2
2025-11-09,06:50:00,4,정자로,상록사거리,신기사거리,440,50,31,51.0,1
2025-11-09,06:50:00,8,불정로,불정사거리,계원삼거리,387,50,41,34.0,1
2025-11-09,06:50:00,1,성남대로,금곡교사거리,궁내사거리,561,70,49,41.0,2
2025-11-09,06:50:00,10,정자로,신기사거리,상록사거리,440,50,36,44.0,1
2025-11-09,06:50:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
2025-11-09,06:50:00,7,불정로,한솔청구어린이집,불정사거리,758,50,29,94.0,1
2025-11-09,06:50:00,11,정자로,상록사거리,금곡교사거리,152,50,29,19.0,1
2025-11-09,06:50:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-11-09,06:50:00,3,황새울로,느티마을사거리,상록사거리,560,50,23,88.0,2
2025-11-09,06:50:00,5,정자로,신기사거리,정든마을사거리,374,50,29,46.0,1
2025-11-09,06:50:00,9,내정로,계원삼거리,신기사거리,390,30,17,83.0,2
2025-11-09,07:00:00,1,성남대로,금곡교사거리,궁내사거리,561,70,45,45.0,2
2025-11-09,07:00:00,9,내정로,계원삼거리,신기사거리,390,30,16,88.0,2
2025-11-09,07:00:00,4,정자로,상록사거리,신기사거리,440,50,29,55.0,1
2025-11-09,07:00:00,5,정자로,신기사거리,정든마을사거리,374,50,19,71.0,2
2025-11-09,07:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,28,97.0,1
2025-11-09,07:00:00,3,황새울로,느티마을사거리,상록사거리,560,50,23,88.0,2
2025-11-09,07:00:00,8,불정로,불정사거리,계원삼거리,387,50,58,24.0,1
2025-11-09,07:00:00,2,느티로,궁내사거리,느티마을사거리,158,50,19,30.0,2
2025-11-09,07:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,15,89.0,2
2025-11-09,07:00:00,11,정자로,상록사거리,금곡교사거리,152,50,23,24.0,2
2025-11-09,07:00:00,10,정자로,신기사거리,상록사거리,440,50,37,43.0,1
2025-11-09,07:10:00,3,황새울로,느티마을사거리,상록사거리,560,50,23,88.0,2
2025-11-09,07:10:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-11-09,07:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-11-09,07:10:00,8,불정로,불정사거리,계원삼거리,387,50,52,27.0,1
2025-11-09,07:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-11-09,07:10:00,4,정자로,상록사거리,신기사거리,440,50,31,51.0,1
2025-11-09,07:10:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
2025-11-09,07:10:00,10,정자로,신기사거리,상록사거리,440,50,35,45.0,1
2025-11-09,07:10:00,11,정자로,상록사거리,금곡교사거리,152,50,27,20.0,1
2025-11-09,07:10:00,1,성남대로,금곡교사거리,궁내사거리,561,70,49,41.0,2
2025-11-09,07:10:00,5,정자로,신기사거리,정든마을사거리,374,50,19,71.0,2
2025-11-09,07:20:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-11-09,07:20:00,8,불정로,불정사거리,계원삼거리,387,50,52,27.0,1
2025-11-09,07:20:00,10,정자로,신기사거리,상록사거리,440,50,36,44.0,1
2025-11-09,07:20:00,4,정자로,상록사거리,신기사거리,440,50,36,44.0,1
2025-11-09,07:20:00,2,느티로,궁내사거리,느티마을사거리,158,50,20,28.0,2
2025-11-09,07:20:00,7,불정로,한솔청구어린이집,불정사거리,758,50,25,109.0,2
2025-11-09,07:20:00,1,성남대로,금곡교사거리,궁내사거리,561,70,52,39.0,1
2025-11-09,07:20:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-11-09,07:20:00,5,정자로,신기사거리,정든마을사거리,374,50,19,71.0,2
2025-11-09,07:20:00,3,황새울로,느티마을사거리,상록사거리,560,50,23,88.0,2
2025-11-09,07:20:00,11,정자로,상록사거리,금곡교사거리,152,50,28,20.0,1
2025-11-09,07:30:00,1,성남대로,금곡교사거리,궁내사거리,561,70,53,38.0,1
2025-11-09,07:30:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-11-09,07:30:00,5,정자로,신기사거리,정든마을사거리,374,50,19,71.0,2
2025-11-09,07:30:00,10,정자로,신기사거리,상록사거리,440,50,40,40.0,1
2025-11-09,07:30:00,8,불정로,불정사거리,계원삼거리,387,50,39,36.0,1
2025-11-09,07:30:01,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-11-09,07:30:01,4,정자로,상록사거리,신기사거리,440,50,32,50.0,1
2025-11-09,07:40:00,5,정자로,신기사거리,정든마을사거리,374,50,19,71.0,2
2025-11-09,07:40:00,9,내정로,계원삼거리,신기사거리,390,30,20,70.0,2
2025-11-09,07:40:00,7,불정로,한솔청구어린이집,불정사거리,758,50,25,109.0,2
2025-11-09,07:40:00,11,정자로,상록사거리,금곡교사거리,152,50,28,20.0,1
2025-11-09,07:40:00,8,불정로,불정사거리,계원삼거리,387,50,55,25.0,1
2025-11-09,07:40:00,10,정자로,신기사거리,상록사거리,440,50,24,66.0,2
2025-11-09,07:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,52,39.0,1
2025-11-09,07:40:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-11-09,07:40:00,3,황새울로,느티마을사거리,상록사거리,560,50,18,112.0,2
2025-11-09,07:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
2025-11-09,07:40:00,4,정자로,상록사거리,신기사거리,440,50,29,55.0,1
2025-11-09,07:50:00,4,정자로,상록사거리,신기사거리,440,50,29,55.0,1
2025-11-09,07:50:00,5,정자로,신기사거리,정든마을사거리,374,50,19,71.0,2
2025-11-09,07:50:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
2025-11-09,07:50:00,11,정자로,상록사거리,금곡교사거리,152,50,29,19.0,1
2025-11-09,07:50:00,9,내정로,계원삼거리,신기사거리,390,30,13,108.0,2
2025-11-09,07:50:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-11-09,07:50:00,10,정자로,신기사거리,상록사거리,440,50,31,51.0,1
2025-11-09,08:00:00,9,내정로,계원삼거리,신기사거리,390,30,15,94.0,2
2025-11-09,08:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-11-09,08:00:00,1,성남대로,금곡교사거리,궁내사거리,561,70,53,38.0,1
2025-11-09,08:00:00,10,정자로,신기사거리,상록사거리,440,50,22,72.0,2
2025-11-09,08:00:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
2025-11-09,08:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-11-09,08:00:00,11,정자로,상록사거리,금곡교사거리,152,50,29,19.0,1
2025-11-09,08:00:00,5,정자로,신기사거리,정든마을사거리,374,50,19,71.0,2
2025-11-09,08:00:00,4,정자로,상록사거리,신기사거리,440,50,34,47.0,1
2025-11-09,08:00:00,3,황새울로,느티마을사거리,상록사거리,560,50,17,119.0,2
2025-11-09,08:00:00,8,불정로,불정사거리,계원삼거리,387,50,25,56.0,2
2025-11-09,08:10:00,8,불정로,불정사거리,계원삼거리,387,50,40,35.0,1
2025-11-09,08:10:00,4,정자로,상록사거리,신기사거리,440,50,34,47.0,1
2025-11-09,08:10:00,5,정자로,신기사거리,정든마을사거리,374,50,23,59.0,2
2025-11-09,08:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-11-09,08:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-11-09,08:10:00,3,황새울로,느티마을사거리,상록사거리,560,50,17,119.0,2
2025-11-09,08:10:00,11,정자로,상록사거리,금곡교사거리,152,50,29,19.0,1
2025-11-09,08:10:00,1,성남대로,금곡교사거리,궁내사거리,561,70,47,43.0,2
2025-11-09,08:10:00,10,정자로,신기사거리,상록사거리,440,50,31,51.0,1
2025-11-09,08:10:00,9,내정로,계원삼거리,신기사거리,390,30,15,94.0,2
2025-11-09,08:10:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
2025-11-09,08:20:00,11,정자로,상록사거리,금곡교사거리,152,50,23,24.0,2
2025-11-09,08:20:00,7,불정로,한솔청구어린이집,불정사거리,758,50,25,109.0,2
2025-11-09,08:20:00,2,느티로,궁내사거리,느티마을사거리,158,50,10,57.0,3
