day_sin,day_cos,hour_sin,hour_cos,minute_sin,minute_cos,arrival_min_sin,arrival_min_cos,is_weekend,is_commute,road_sin,road_cos,station_sin,station_cos,bus_line,len,maxSpeed,speed,traffic,temp,rain,humidity
-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,-0.49999999999999967,0.8660254037844388,-0.49999999999999967,0.8660254037844388,1,0,-0.8660254037844392,0.4999999999999991,-2.4492935982947064e-16,1.0,0,0.0,0.5,0.5283018867924528,0.0,0.6405529953917051,0.0,0.8533333333333333
-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,-0.20791169081775898,0.9781476007338057,-0.20791169081775898,0.9781476007338057,1,0,0.8660254037844387,-0.49999999999999983,0.5633200580636221,0.8262387743159949,1,0.00990099009900991,0.5,0.22641509433962265,0.5,0.6405529953917051,0.0,0.8533333333333333
-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,-0.10452846326765342,0.9945218953682733,-0.10452846326765342,0.9945218953682733,1,0,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,1,0.00990099009900991,0.5,0.22641509433962265,0.5,0.6405529953917051,0.0,0.8533333333333333
-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0,1.0,1,0,1.2246467991473532e-16,-1.0,0.9308737486442042,0.365341024366395,1,0.6732673267326732,0.5,0.24528301886792453,0.5,0.5852534562211982,0.0,0.8666666666666667
-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,0.10452846326765346,0.9945218953682733,0.10452846326765346,0.9945218953682733,1,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,1,0.4752475247524753,0.5,0.5283018867924528,0.0,0.5852534562211982,0.0,0.8666666666666667
-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,0.10452846326765346,0.9945218953682733,0.10452846326765346,0.9945218953682733,1,0,1.2246467991473532e-16,-1.0,0.9972037971811801,0.07473009358642439,1,0.6732673267326732,0.5,0.24528301886792453,0.5,0.5852534562211982,0.0,0.8666666666666667
-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,0.3090169943749474,0.9510565162951535,0.3090169943749474,0.9510565162951535,1,0,-0.8660254037844386,0.5000000000000001,0.6801727377709194,-0.7330518718298263,1,0.3663366336633664,0.5,0.22641509433962265,0.5,0.5852534562211982,0.0,0.8666666666666667
-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,0.3090169943749474,0.9510565162951535,0.3090169943749474,0.9510565162951535,1,0,-0.8660254037844384,-0.5000000000000004,0.8660254037844387,-0.49999999999999983,1,0.4752475247524753,0.5,0.5283018867924528,0.0,0.5852534562211982,0.0,0.8666666666666667
-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,0.40673664307580015,0.9135454576426009,0.40673664307580015,0.9135454576426009,1,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,0.3663366336633664,0.5,0.22641509433962265,0.5,0.5852534562211982,0.0,0.8666666666666667
-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,1,0,-2.4492935982947064e-16,1.0,-0.14904226617617403,-0.9888308262251286,1,0.3580858085808581,0.0,0.15094339622641512,0.5,0.5852534562211982,0.0,0.8666666666666667
